id,price,image,category
1,40,https://i.postimg.cc/x8tYd51R/Whats-App-Image-2025-07-02-at-13-53-27-3.jpg, Rakhi 1
2,29,https://i.postimg.cc/3J8rX5Xw/Whats-App-Image-2025-07-02-at-13-53-24.jpg, Rakhi 3
3,45,https://i.postimg.cc/fW1zP20c/Whats-App-Image-2025-07-02-at-13-53-25.jpg, Rakhi 2
4,30,https://i.postimg.cc/nVXV0bMV/Whats-App-Image-2025-07-02-at-13-53-25-1.jpg, Rakhi 1
5,35,https://i.postimg.cc/8PWpgRhq/Whats-App-Image-2025-07-02-at-13-53-25-2.jpg, Rakhi 3
6,23,https://i.postimg.cc/y8HV1DjW/Whats-App-Image-2025-07-02-at-13-53-25-3.jpg, Rakhi 1
7,50,https://i.postimg.cc/434scjrg/Whats-App-Image-2025-07-02-at-13-53-26.jpg, Rakhi 4
8,55,https://i.postimg.cc/vBcyqfY2/Whats-App-Image-2025-07-02-at-13-53-26-1.jpg, Rakhi 1
9,47,https://i.postimg.cc/3wL7FnTD/Whats-App-Image-2025-07-02-at-13-53-26-2.jpg, Rakhi 3
9,48,https://i.postimg.cc/sg43v3Hm/Whats-App-Image-2025-07-02-at-13-53-26-3.jpg, Rakhi 2
11,35,https://i.postimg.cc/W3CvQztN/Whats-App-Image-2025-07-02-at-13-53-27-1.jpg, Rakhi 1
12,40,https://i.postimg.cc/664wCr1y/Whats-App-Image-2025-07-02-at-13-53-27-2.jpg, Rakhi 4
13,80,https://i.postimg.cc/Hxt1SzXg/Whats-App-Image-2025-07-02-at-13-53-27.jpg, Rakhi 3
14,48,https://i.postimg.cc/bNrfTQv7/Whats-App-Image-2025-07-02-at-13-53-28.jpg, Rakhi 2
15,35,https://i.postimg.cc/GbShZpwP/Whats-App-Image-2025-07-02-at-13-53-28-1.jpg, Rakhi 1
16,40,https://i.postimg.cc/fR6skJD6/Whats-App-Image-2025-07-02-at-13-53-28-2.jpg, Rakhi 4
17,40,https://i.postimg.cc/Z59ZTrt8/Whats-App-Image-2025-07-02-at-13-53-28-3.jpg, Rakhi 4







